Date,Close,High,Low,Open,Volume,Daily_Return,Close_Lag_1,Close_Lag_5,Close_Lag_20,Volatility_30,MA_20,MA_50,Target
2015-03-16,172.73367309570312,172.8247691226568,170.48112828051322,171.18505327392148,136099200,0.013360458271327591,170.456298828125,172.55149841308594,173.72743225097656,0.007561899448086024,173.44585113525392,170.5972116088867,172.22019958496094
2015-03-17,172.22019958496094,172.60113735012428,171.40861234601115,171.99659798758267,94510400,-0.0029726312278307576,172.73367309570312,169.7523193359375,174.00070190429688,0.00731699329347538,173.3568260192871,170.63911560058594,174.29054260253906
2015-03-18,174.29054260253906,174.96133472213626,171.11047188394753,171.74814392695924,228808500,0.012021487738183456,172.22019958496094,169.35482788085938,174.01724243164062,0.007174514582567678,173.37049102783203,170.7838739013672,173.49557495117188
2015-03-19,173.49557495117188,174.29887289622786,173.1063475907249,173.876525449042,117917300,-0.004561163442930338,174.29054260253906,171.50799560546875,173.89303588867188,0.007192966303059379,173.35061798095703,170.9442025756836,175.0269775390625
2015-03-20,175.0269775390625,175.5343990554761,174.26168836055672,174.44469367420336,177715100,0.008826753006937693,173.49557495117188,170.456298828125,174.93653869628906,0.007140623261291279,173.3551399230957,171.09391845703124,174.68592834472656
2015-03-23,174.68592834472656,175.60926875940504,174.68592834472656,175.0352986782756,71784500,-0.0019485521553945784,175.0269775390625,172.73367309570312,174.91165161132812,0.007127869271770195,173.34385375976564,171.17735290527344,173.70436096191406
2015-03-24,173.70436096191406,175.01865340630465,173.63781242033892,174.56115280883478,77805300,-0.005619040938864117,174.68592834472656,172.22019958496094,175.40853881835938,0.007160519963940772,173.25864486694337,171.26848388671874,171.15892028808594
2015-03-25,171.15892028808594,174.14522727250312,171.11733855742628,173.91231373233074,159521700,-0.014653867408580656,173.70436096191406,174.29054260253906,175.25949096679688,0.007450523197735432,173.05361633300782,171.33520751953125,170.75128173828125
2015-03-26,170.75128173828125,171.66629534342607,169.79466102806265,170.49341415235105,153067200,-0.002381637773354539,171.15892028808594,173.49557495117188,175.0524444580078,0.007462262269194707,172.83855819702148,171.40321746826172,171.1422576904297
2015-03-27,171.1422576904297,171.31693646343555,170.443504519906,170.63483629030935,118939000,0.0022897394863934384,170.75128173828125,175.0269775390625,174.45619201660156,0.007250388898546947,172.6728614807129,171.49925445556642,173.23016357421875
2015-03-30,173.23016357421875,173.52962558919126,172.15709875805342,172.17372636961676,96180400,0.012199826693684024,171.1422576904297,174.68592834472656,175.55755615234375,0.0075649893476341275,172.55649185180664,171.66752532958984,171.71620178222656
2015-03-31,171.71620178222656,173.10538151826552,171.65797975995795,172.40662840121527,126768700,-0.008739596850542375,173.23016357421875,173.70436096191406,174.83714294433594,0.0077205602155217806,172.40044479370118,171.7622885131836,171.1090087890625
2015-04-01,171.1090087890625,171.7079329360202,170.11911991581752,171.6829788209666,137303600,-0.0035360262273569365,171.71620178222656,171.15892028808594,174.10006713867188,0.007740779096433844,172.2508918762207,171.8377847290039,171.7245635986328
2015-04-02,171.7245635986328,172.17375033720432,170.85944534924582,171.04245064458402,86900900,0.0035974424369973335,171.1090087890625,170.75128173828125,174.29054260253906,0.007777233598932384,172.1225929260254,171.90869903564453,172.88082885742188
2015-04-06,172.88082885742188,173.39656416417543,170.701418168536,170.83450255255133,114368200,0.006733254897019592,171.7245635986328,171.1422576904297,171.83926391601562,0.007799102776502351,172.1746711730957,171.95271881103517,172.42330932617188
2015-04-07,172.42330932617188,173.65442551024032,172.39004140458533,172.90577669260682,81236300,-0.002646444572679152,172.88082885742188,173.23016357421875,172.55149841308594,0.007810035119819938,172.16826171875,172.00630310058594,173.00555419921875
2015-04-08,173.00555419921875,173.44642704478457,172.25690555013824,172.64787017814302,89351900,0.003376833882392516,172.42330932617188,171.71620178222656,169.7523193359375,0.007818427509412083,172.33092346191407,172.0635827636719,173.7708740234375
2015-04-09,173.7708740234375,174.00378754198945,172.34843879891193,172.83921994922966,85548900,0.004423671989960853,173.00555419921875,171.1090087890625,169.35482788085938,0.00786779316719363,172.55172576904297,172.18105377197264,174.71917724609375
2015-04-10,174.71917724609375,174.76077166783332,173.82080373926345,174.02043665507665,72722900,0.005457204655184844,173.7708740234375,171.7245635986328,171.50799560546875,0.007933900357899128,172.71228485107423,172.3605551147461,173.9289093017578
2015-04-13,173.9289093017578,175.20994622951594,173.87900107989284,174.57774157166983,74436600,-0.004523075009807531,174.71917724609375,172.88082885742188,170.456298828125,0.007952872944445754,172.88591537475585,172.49360900878906,174.26171875
